# 第1〜3世代の技（wiki の技データに載っていないもの）。第5世代(BW)基準の数値・第4世代の物理特殊分類。wiki の「既存技変更点」は build.py で上書きする
# 技名	タイプ	分類	威力	命中	PP	効果	優先度
あくび	ノーマル	変化	-	-	10	次のターン終了時に相手を眠らせる	0
あくまのキッス	ノーマル	変化	-	75	10	相手を眠らせる	0
あくむ	ゴースト	変化	-	100	15	眠っている相手のHPを毎ターン1/4減らす	0
あさのひざし	ノーマル	変化	-	-	5	HP回復(天候で回復量が変わる)	0
あてみなげ	かくとう	物理	70	-	10	必中・後攻	-1
あなをほる	じめん	物理	80	100	10	1ターン目に潜り2ターン目に攻撃	0
あばれる	ノーマル	物理	120	100	10	2〜3ターン暴れた後に混乱	0
あまいかおり	ノーマル	変化	-	100	20	相手回避↓	0
あまえる	ノーマル	変化	-	100	20	相手攻撃↓↓	0
あまごい	みず	変化	-	-	5	5ターン雨	0
あやしいひかり	ゴースト	変化	-	100	10	相手混乱	0
あられ	こおり	変化	-	-	10	5ターン霰	0
あわ	みず	特殊	20	100	30	相手素早さ↓10%	0
いあいぎり	ノーマル	物理	50	95	30	通常攻撃	0
いかり	ノーマル	物理	20	100	20	攻撃を受けると攻撃↑	0
いかりのまえば	ノーマル	物理	-	90	10	相手のHPを半分にする	0
いたみわけ	ノーマル	変化	-	-	20	互いのHPを合計して半分ずつにする	0
いちゃもん	あく	変化	-	100	15	同じ技を連続で出せなくする	0
いとをはく	むし	変化	-	95	40	相手素早さ↓	0
いばる	ノーマル	変化	-	90	15	相手攻撃↑↑・混乱	0
いびき	ノーマル	特殊	40	100	15	眠っている時だけ使える・相手怯み30%	0
いやしのすず	ノーマル	変化	-	-	5	味方全員の状態異常を治す	0
いやなおと	ノーマル	変化	-	85	40	相手防御↓↓	0
いわおとし	いわ	物理	50	90	15	通常攻撃	0
いわくだき	かくとう	物理	40	100	15	●相手防御↓50%	0
いわなだれ	いわ	物理	75	90	10	相手怯み30%	0
うずしお	みず	特殊	35	85	15	4〜5ターン拘束ダメージ	0
うそなき	あく	変化	-	100	20	相手特防↓↓	0
うたう	ノーマル	変化	-	55	15	相手を眠らせる	0
うらみ	ゴースト	変化	-	100	10	相手が最後に使った技のPPを4減らす	0
えんまく	ノーマル	変化	-	100	20	相手命中↓	0
